Sentence,Polarity,Subjectivity
The Lionel Messi Story: How Did He Get To The Top Of The World?,0.5,0.5
| Bleacher Report | Latest News  Videos and HighlightsXBleacher Report LogoFootballF1VideosBoxingMMARugbyNBANHLNFLAEWWWEGolfTennisGet the AppMoreShowsAccountSign UpLoginGet HelpEditionFacebook LogoTwitter LogoCopy Link IconHome>World Football>FC BarcelonaThe Lionel Messi Story: How Did He Get To The Top Of The World?,0.5,0.7
Sriram IlangoCorrespondent IAugust 16  2009,0.0,0.0
CommentsComment Bubble IconLionel Messi—probably the best player in the world today.,1.0,0.3
He is one of the finest and most exciting footballing talents in the world.,0.4,0.65
He had this never ending comparison with the former Manchester United Winger Cristiano Ronaldo but he kind of shrugged off it by helping his team defeat Manchester United convincingly in the UEFA Champions League finals at Rome 2009.How did he attain this place at the top of the world?,0.4,0.6
At cloud nine?Messi’s performances in the 2005-06 season earned him rave reviews and a place in Argentina’s World Cup squad.,0.0,0.0
A forward or attacking midfielder  Messi is blessed with outstanding ball control and pace and has the potential to become one of the finest players the game has seen.,0.033333333333333326,0.7583333333333333
Barcelona is reaping the benefits of his growing maturity on the highest stage and at home in Argentina he has become the latest player to earn the moniker of ‘the new Maradona’.,0.3181818181818182,0.6772727272727272
That is a difficult tag to carry  but so far he has borne it well.,-0.2,1.0
Yet  Messi’s story could have ended before it begun had Barca not taken him under its wing at an early age.,0.1,0.3
Messi was born in Rosario  Argentina  and showed a great aptitude for football as a child.,0.8,0.75
He played at a club called Grandoli  which was coached by his father  from the age of five and later moved to Newell’s Old Boys.,0.05,0.1
He showed all the signs of having a promising footballing career ahead of him but at the age of 11 he was diagnosed with a growth hormone deficiency that required expensive treatment.,-0.15,0.6
His parents could not afford it but after some tentative signs of awareness in Messi’s talent from Barcelona  they decided to move to Spain.,0.0,0.0
Messi tried out for Barca and the club was so impressed it agreed to pay for his medical treatment.,0.5,0.5
Barca is now receiving enormous return on its investment after Messi rose through the youth ranks to the very top.,0.4166666666666667,0.8333333333333334
He was in the first team by 17 and a full international the following year.,0.15,0.24583333333333332
He shone even in a Barcelona team boasting the ilk of Ronaldinho and Samuel Eto’o but missed the successful conclusion to Barca’s UEFA Champions League run having had his season ended prematurely by a thigh injury.,0.75,0.95
He also missed three months of the following season with a broken metatarsal but the second half of the 2006-07 campaign was when he truly came of age.,-0.14166666666666666,0.16666666666666666
He became the youngest Barca player ever to score a hat trick against its fiercest rival Real Madrid in ‘El Clasisco’ and netted 11 goals in the last 13 games of the season.,0.1,0.18333333333333335
Barca fell short in its title defence in 2007 and has lost even more ground to Real Madrid in what has been a difficult 2007-08 campaign.,0.04999999999999999,0.525
Yet  through it all Messi  despite another lengthy spell out injured  has been the star.,0.0,0.0
"It was chiefly through his form that the Catalan club reached the Champions League semifinals after a domestic title challenge had long since fizzled out.2007-2008 was ""so near yet so far"" for Messi and Barca.",0.037500000000000006,0.475
They missed out of the La Liga title to Real and were defeated by a single goal in the UEFA Champions league semifinals by Manchester UnitedThen came Pep Guardiola.,0.0642857142857143,0.2571428571428572
Messi took his game to the next level.,-0.2,0.2
He raised the bar.,0.0,0.0
He scored 38 Goals in all  competitions helping his team win the Treble-,0.8,0.4
The Spanish Cup  La Liga and the UEFA Champions League.,0.0,0.0
They defeated their Rivals Real Madrid 6-1 in the El Classico at the Bernabeu and took revenge over Manchester United by defeating then in the UEFA Champions league finals.,0.2,0.30000000000000004
In both the occasions—Messi Scored.,0.0,0.0
Messi is a Spanish citizen but chose to represent Argentina.,0.0,0.0
He overcame injury to feature in the 2006 World Cup and helped his team reach the Copa America final last year.,0.0,0.5333333333333333
Messi is said to be dating an Argentinian teenager called Maracena Lemos  an aspiring model whom he met during a period of recuperation from injury.,0.0,0.0
It is said she was only 14 when they met.,0.0,1.0
No injury is ever likely to faze Messi after coming through his childhood difficulties  but he does seem to have had some bad ones.,-0.3499999999999999,0.8333333333333333
He tore a thigh in a Champions League tie against Chelsea in 2006 before breaking his foot the following season.,0.0,0.1
He was sidelined for six weeks again after tearing a thigh muscle this March against Celtic.,0.0,0.0
He left the field in tears.,0.0,0.0
Moment to rememberComparisons with Diego Maradona seemed apt when Messi scored a stunning goal in a Copa del Rey game against Getafe in April 2007.,0.23333333333333336,0.7999999999999999
Messi ran more than half the length of the field and beat six players before slotting the ball into the net from a tight angle.,0.0386904761904762,0.23809523809523808
It was highly reminiscent of Maradona’s famous goal—as opposed to the infamous one—against England in the 1986 World Cup quarterfinals.,0.0,0.8333333333333334
Moment to forgetMessi endured a miserable debut for Argentina when he was sent off against Hungary in Budapest just two minutes after coming off the bench.,-1.0,1.0
He was adjudged to have elbowed Vilmos Vanczak and left the field in tears.,0.0,0.0
🚨 SPORTS NEWS ➡️,0.0,0.0
YOUR INBOXThe latest in the sports world  emailed daily.,0.25,0.45
Join NewsletterMaybe laterFacebook LogoTwitter LogoCopy Link IconBleacher Report Logo🚨 SPORTS NEWS ➡️,0.0,0.0
YOUR INBOXThe latest in the sports world  emailed daily.,0.25,0.45
Join NewsletterFacebook LogoTwitter LogoInstagram LogoAboutAdvertiseContact UsGet HelpCareersCommunity GuidelinesPrivacyCookie PreferencesTerms Of UseTicketsAdChoices    Copyright © 2022,0.0,0.0
Bleacher Report  Inc.,0.0,0.0
Turner Broadcasting System  Inc.,0.0,0.0
All Rights Reserved.,0.0,0.0
BleacherReport.com is part of Bleacher Report – Turner Sports Network  part of the Turner Sports and Entertainment Network.,0.0,0.0
Certain photos copyright © 2022 Getty Images.,0.21428571428571427,0.5714285714285714
Any commercial use or distribution without the express written consent of Getty Images is strictly prohibited.,0.0,0.0
AdChoices Turner Logo,0.0,0.0
